ALM_ADJ;Almohad;Almohad;Almohad;;;;;;;;;;;x;
ALM;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_proletarian_dictatorship;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_presidential_dictatorship;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_bourgeois_dictatorship;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_fascist_dictatorship;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_absolute_monarchy;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_prussian_constitutionalism;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_hms_government;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_democracy;Almohads;Almohads;Almohads;;;;;;;;;;;x;
ALM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ALM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ALM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ALM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ALM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ALM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ALM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ALM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ALM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
