ASK_ADJ;Astrakhani;Astrakhani;Astrakhani;;;;;;;;;;;x;
ASK;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_proletarian_dictatorship;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_presidential_dictatorship;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_bourgeois_dictatorship;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_fascist_dictatorship;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_absolute_monarchy;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_prussian_constitutionalism;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_hms_government;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_democracy;Astrakhan;Astrakhan;Astrakhan;;;;;;;;;;;x;
ASK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ASK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ASK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ASK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ASK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ASK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ASK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ASK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ASK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
