AZE_ADJ;Aztec;Aztec;Aztec;;;;;;;;;;;x;
AZE;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_proletarian_dictatorship;Aztec Commune;Aztec Commune;Aztec Commune;;;;;;;;;;;x;
AZE_presidential_dictatorship;Aztec Republic;Aztec Republic;Aztec Republic;;;;;;;;;;;x;
AZE_bourgeois_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_fascist_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_absolute_monarchy;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_prussian_constitutionalism;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_hms_government;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZE_democracy;Aztec Republic;Aztec Republic;Aztec Republic;;;;;;;;;;;x;
AZE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AZE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AZE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AZE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AZE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AZE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AZE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AZE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AZE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
