BID_ADJ;Bidri;Bidri;Bidri;;;;;;;;;;;x;
BID;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_proletarian_dictatorship;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_presidential_dictatorship;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_bourgeois_dictatorship;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_fascist_dictatorship;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_absolute_monarchy;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_prussian_constitutionalism;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_hms_government;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_democracy;Bidar;Bidar;Bidar;;;;;;;;;;;x;
BID_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BID_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BID_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BID_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BID_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BID_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BID_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BID_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BID_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
