CAD_ADJ;Cadian;Cadian;Cadian;;;;;;;;;;;x;
CAD;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_proletarian_dictatorship;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_presidential_dictatorship;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_bourgeois_dictatorship;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_fascist_dictatorship;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_absolute_monarchy;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_prussian_constitutionalism;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_hms_government;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_democracy;Cade's Rebellion;Cade's Rebellion;Cade's Rebellion;;;;;;;;;;;x;
CAD_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CAD_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CAD_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CAD_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CAD_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CAD_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CAD_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CAD_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CAD_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
