CEY_ADJ;Sri Lankan;Sri Lankan;Sri Lankan;;;;;;;;;;;x;
CEY;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_proletarian_dictatorship;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_presidential_dictatorship;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_bourgeois_dictatorship;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_fascist_dictatorship;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_absolute_monarchy;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_prussian_constitutionalism;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_hms_government;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_democracy;Sri Lanka;Sri Lanka;Sri Lanka;;;;;;;;;;;x;
CEY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CEY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CEY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CEY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CEY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CEY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CEY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CEY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CEY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
