DED_ADJ;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_proletarian_dictatorship;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_presidential_dictatorship;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_bourgeois_dictatorship;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_fascist_dictatorship;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_absolute_monarchy;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_prussian_constitutionalism;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_hms_government;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_democracy;Dendi;Dendi;Dendi;;;;;;;;;;;x;
DED_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DED_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DED_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DED_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DED_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DED_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DED_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DED_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DED_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
