DUM_ADJ;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_proletarian_dictatorship;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_presidential_dictatorship;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_bourgeois_dictatorship;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_fascist_dictatorship;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_absolute_monarchy;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_prussian_constitutionalism;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_hms_government;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_democracy;Dual Monarchy;Dual Monarchy;Dual Monarchy;;;;;;;;;;;x;
DUM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DUM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DUM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DUM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DUM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DUM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DUM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DUM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DUM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
