EVTNAME199011928;New Emperor Elected;;;;;;;;;;;;;x; ###Holy Roman Empire Resign
EVTDESC199011928;One of the countries in the Holy Roman Empire has gained significantly more prestige than you and has been elected as the new leader of the Holy Roman Empire. You will go back to being a subject of the empire until you regain your former glory.;;;;;;;;;;;;;x;
EVTOPTB199011928;An Unfortunate Shame;;;;;;;;;;;;;x;
EVTNAME199011929;New Emperor Elected;;;;;;;;;;;;;x; ###Holy Roman Empire Become
EVTDESC199011929;You have gained a substational amount of prestige in recent years and have clearly surpassed the current leader of the Holy Roman Empire. Because of this, you have been elected the new Leader of the Holy Roman Empire. May you be gracious in your reign.;;;;;;;;;;;;;x;
EVTOPTB199011929;Assume the throne;;;;;;;;;;;;;x; 
EVTDESC199011929_NEWS_LONG;The Old Leader of the Holy Roman Empire is out.;;;;;;;;;;;;;x; 
EVTDESC199011929_NEWS_MEDIUM;The Old Leader of the Holy Roman Empire is out.;;;;;;;;;;;;;x; 
EVTDESC199011929_NEWS_SHORT;The Old Leader of the Holy Roman Empire is out.;;;;;;;;;;;;;x; 
become_Holy_Roman_Empire_title;Become Holy Roman Empire Leader;;;;;;;;;;;;;x; 
become_Holy_Roman_Empire_desc;You can get enough prestige to become the new Holy Roman Empire and replace the old Emporer.;;;;;;;;;;;;;x; 
become_Mossi_Empire_title;Unify the Mossi Empire;;;;;;;;;;;;;x; 
become_Mossi_Empire_desc;Upon civilizing, you can unify all the mossi nations of Yatenga, Oudraogo, Gurma, and Tenkodogo into one Mossi Empire.;;;;;;;;;;;;;x; 
EVTNAME199011930;Debuff Time;;;;;;;;;;;;;x;
EVTDESC199011930;Get Debuffed because you don't matter;;;;;;;;;;;;;x;
EVTOPTB199011930;DEBUFFF!!!!;;;;;;;;;;;;;x;
EVTNAME199011931;Back To Menu;;;;;;;;;;;;;x;
EVTDESC199011931;You shouldn't be playing this country. It is filler so the game doesn't crash because it needs to assign great powers as civilized.;;;;;;;;;;;;;x;
EVTOPTB199011931;Go Back to Menu;;;;;;;;;;;;;x;
become_Maya_Empire_title;Unify the Mayan Empire;;;;;;;;;;;;;x;
become_Maya_Empire_desc;Upon puppeting, sphereing, or owning all of the Mayan's cores you can claim a unified Mayan state of the Mayan Empire.;;;;;;;;;;;;;x; 
EVTNAME199011951;Calling of a Crusade;;;;;;;;;;;;;x;
EVTDESC199011951;The Pope is calling you to a crusade to help liberate Jerusalum from Egypt. It will bring us prestige and glory to help, but we can choose to stay out of the war.;;;;;;;;;;;;;x;
EVTOPTB199011951;Join Crusade;;;;;;;;;;;;;x;
EVTOPTC199011951;Stay Neutral;;;;;;;;;;;;;x;
EVTNAME199011952;Crusade For Jerusalum;;;;;;;;;;;;;x;
EVTDESC199011952;We are being attacked in an attempt to liberate Jerusalum. We can either let the crusaders have the state or give it up.;;;;;;;;;;;;;x;
EVTOPTB199011952;Fight back;;;;;;;;;;;;;x;
EVTOPTC199011952;Let them have it;;;;;;;;;;;;;x;
become_Aztec_Empire_title;Unify the Aztec Empire;;;;;;;;;;;;;x;
become_Aztec_Empire_desc;Upon puppeting, sphereing, or owning all of the Aztec's cores you can claim a unified Aztec state of the Aztec Empire.;;;;;;;;;;;;;x; 
NORMAL_;The Crusade for Judea;;;;;;;;;;;;;x;
EVTNAME199011953;Crusade Victory;;;;;;;;;;;;;x;
EVTDESC199011953;We have won the crusades and now it is time to stand as our own country in the world. Our alliance with the many nations of Europe that helped us exist must come to end as we now seek to establish ourselves as an independent nation.;;;;;;;;;;;;;x;
EVTOPTB199011953;Glory to Judea;;;;;;;;;;;;;;x;
EVTDESC199011953_NEWS_LONG;The Crusaders have succeeded! The Country of Judea has been established in the levant, and it is to be a bastion of Catholic religion in the near east. It encompasses many of the lands of Jesus's original travels including Jerusalem and Nazareth. It is still to see if this country will survive among the mostly muslim lands of the near east.;;;;;;;;;;;;;;x;
EVTDESC199011953_NEWS_MEDIUM;The Crusaders have won and have established the country of Judea as a Catholic state. In encompasses many historically biblical cities like Judea and Nazareth.;;;;;;;;;;;;;;x;
EVTDESC199011953_NEWS_SHORT;The Crusaders have won and have established the country of Judea as a Catholic state.;;;;;;;;;;;;;;x;
EVTNAME199011954;Personal Union;;;;;;;;;;;;;;x;
EVTDESC199011954;Through a system of medieval marriages. One of our Catholic allies has lost a monarch today, and because of your alliance with him and the marriages you have with his dyansty, you were chosen to be his successor. Both of your countries are to unite together.;;;;;;;;;;;;;;x;
EVTOPTA199011954;God Bless the King;;;;;;;;;;;;;;x;
start_Crusade_title;Start a Crusade;;;;;;;;;;;;;;x;
start_Crusade_desc;Start a Crusade to retake the land of Judea and declare it a Catholic Kingdom;;;;;;;;;;;;;;x;
EVTNAME199011987;Personal Union;;;;;;;;;;;;;;x;
EVTDESC199011987;Through a system of medieval marriages, both the monarch of Portugal and Spain claim the same heir. Thus forming a personal union and uniting the realms.;;;;;;;;;;;;;;x;
EVTOPTA199011987;Bless the King with more Dominions!;;;;;;;;;;;;;;x;
EVTNAME199011988;Personal Union;;;;;;;;;;;;;;x;
EVTDESC199011988;Through a system of medieval marriages, both the monarch of Portugal and Spain claim the same heir. Thus forming a personal union and uniting the realms.;;;;;;;;;;;;;;x;
EVTOPTA199011988;Bless the King with more Dominions!;;;;;;;;;;;;;;x;
EVTNAME199011989;Personal Union;;;;;;;;;;;;;;x;
EVTDESC199011989;Through a system of medieval marriages, both the monarch of Portugal and Spain claim the same heir. Thus forming a personal union and uniting the realms.;;;;;;;;;;;;;;x;
EVTOPTA199011989;Bless the King with more Dominions!;;;;;;;;;;;;;;x;
EVTNAME199011990;Personal Union;;;;;;;;;;;;;;x;
EVTDESC199011990;Through a system of medieval marriages, both the monarch of Portugal and Spain claim the same heir. Thus forming a personal union and uniting the realms.;;;;;;;;;;;;;;x;
EVTOPTA199011990;Bless the King with more Dominions!;;;;;;;;;;;;;;x;
EVTOPTB199011987;Put my cousin on the throne;;;;;;;;;;;;;;x;
EVTNAME199011991;Invitation from the Holy Roman Empire;;;;;;;;;;;;;;x;
EVTDESC199011991;The Holy Roman Empire sent us a request asking if we would like to join their empire as a vassal state. It could give us greater security in Europe and allow us to better defend ourselves with alliances.;;;;;;;;;;;;;;x;
EVTOPTA199011991;I accept;;;;;;;;;;;;;;x;
EVTOPTB199011991;We will stay free!;;;;;;;;;;;;;;x;
EVTNAME199011992;France Accepts;;;;;;;;;;;;;;x;
EVTDESC199011992;France has accepted our request to join the Holy Roman Empire and will be integrated into our realm.;;;;;;;;;;;;;;x;
EVTOPTA199011992;Glory to Rome;;;;;;;;;;;;;;x;
EVTDESC199011992_NEWS_LONG;France joined the Holy Roman Empire.;;;;;;;;;;;;;;x;
EVTDESC199011992_NEWS_MEDIUM;France joined the Holy Roman Empire.;;;;;;;;;;;;;;x;
EVTDESC199011992_NEWS_SHORT;France joined the Holy Roman Empire.;;;;;;;;;;;;;;x;
invite_France_Holy_Roman_Empire_title;Invite France to the HRE;;;;;;;;;;;;;;x;
invite_France_Holy_Roman_Empire_desc;France is in a declined state. We can seize the opportunity and invite France to join the Holy Roman Empire, further securing our power in central Europe and expanding our influence westward.;;;;;;;;;;;;;;x;
EVTNAME199011993;France Declines;;;;;;;;;;;;;;x;
EVTOPTA199011993;France has declined our request to join the Holy Roman Empire and will remain independent.;;;;;;;;;;;;;;x;
EVTNAME199011995;Ottoman Expansion;;;;;;;;;;;;;;x;
EVTDESC199011995;The Ottomans, a great empire, have the opportunity to expand. The question comes, which way?;;;;;;;;;;;;;;x;
EVTOPTA199011995;Expand West;;;;;;;;;;;;;;x;
EVTOPTB199011995;Expand South;;;;;;;;;;;;;;x;
EVTOPTC199011995;Expand Inward;;;;;;;;;;;;;;x;
EVTOPTD199011995;Expand North;;;;;;;;;;;;;;x;
I_can_expand_title;Ottoman Expansion;;;;;;;;;;;;;;x;
I_can_expand_desc;The Ottomans, a great empire, have the opportunity to expand at this time in history.;;;;;;;;;;;;;;x;
