FAT_ADJ;Fatimid;Fatimid;Fatimid;;;;;;;;;;;x;
FAT;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_proletarian_dictatorship;People's Calpihate;People's Calpihate;People's Calpihate;;;;;;;;;;;x;
FAT_presidential_dictatorship;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_bourgeois_dictatorship;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_fascist_dictatorship;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_absolute_monarchy;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_prussian_constitutionalism;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_hms_government;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_democracy;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;Neo-Fatimid Caliphate;;;;;;;;;;;x;
FAT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FAT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FAT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FAT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FAT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FAT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FAT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FAT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FAT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
