FOR_ADJ;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_proletarian_dictatorship;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_presidential_dictatorship;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_bourgeois_dictatorship;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_fascist_dictatorship;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_absolute_monarchy;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_prussian_constitutionalism;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_hms_government;Formosa;Formosa;Formosa;;;;;;;;;;;x;
FOR_democracy;Taiwan;Taiwan;Taiwan;;;;;;;;;;;x;
FOR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FOR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FOR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FOR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FOR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FOR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FOR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FOR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FOR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
