FUJ_ADJ;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_proletarian_dictatorship;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_presidential_dictatorship;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_bourgeois_dictatorship;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_fascist_dictatorship;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_absolute_monarchy;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_prussian_constitutionalism;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_hms_government;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_democracy;Fujian;Fujian;Fujian;;;;;;;;;;;x;
FUJ_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FUJ_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FUJ_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FUJ_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FUJ_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FUJ_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FUJ_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FUJ_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FUJ_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
