FUT_ADJ;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_proletarian_dictatorship;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_presidential_dictatorship;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_bourgeois_dictatorship;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_fascist_dictatorship;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_absolute_monarchy;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_prussian_constitutionalism;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_hms_government;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_democracy;Futa Jallon;Futa Jallon;Futa Jallon;;;;;;;;;;;x;
FUT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FUT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FUT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FUT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FUT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FUT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FUT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FUT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FUT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
