GBH_ADJ;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_proletarian_dictatorship;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_presidential_dictatorship;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_bourgeois_dictatorship;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_fascist_dictatorship;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_absolute_monarchy;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_prussian_constitutionalism;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_hms_government;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_democracy;Great Power Eight;Great Power Eight;Great Power Eight;;;;;;;;;;;x;
GBH_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GBH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GBH_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GBH_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GBH_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GBH_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GBH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GBH_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GBH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
