GPG_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPG_liberal_Fill9;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPG_liberal_8Fill;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPG_fascist_Fill2;Fascists;Fascists;Fascists;;;;;;;;;;;x;
