GPH_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPH_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPH_liberal_Fill7;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPH_socialist_Fill5;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPH_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPH_reactionary_Fill4;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPH_communist_Fill6;Communists;Communists;Communists;;;;;;;;;;;x;
GPH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
