GPL_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
