GPM_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
