GPO_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPO_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPO_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPO_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPO_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPO_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPO_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPO_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPO_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPO_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
