GPR_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
