GPS_ADJ;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_proletarian_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_presidential_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_bourgeois_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_fascist_dictatorship;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_absolute_monarchy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_prussian_constitutionalism;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_hms_government;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_democracy;Great Power Fill;Great Power Fill;Great Power Fill;;;;;;;;;;;x;
GPS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GPS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GPS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GPS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GPS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GPS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GPS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GPS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GPS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
