GUN_ADJ;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_proletarian_dictatorship;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_presidential_dictatorship;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_bourgeois_dictatorship;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_fascist_dictatorship;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_absolute_monarchy;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_prussian_constitutionalism;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_hms_government;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_democracy;Guangdong;Guangdong;Guangdong;;;;;;;;;;;x;
GUN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GUN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GUN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GUN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GUN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GUN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GUN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GUN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GUN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
