HEN_ADJ;Henan;Henan;Henan;;;;;;;;;;;x;
HEN;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_proletarian_dictatorship;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_presidential_dictatorship;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_bourgeois_dictatorship;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_fascist_dictatorship;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_absolute_monarchy;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_prussian_constitutionalism;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_hms_government;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_democracy;Henan;Henan;Henan;;;;;;;;;;;x;
HEN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
HEN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
HEN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
HEN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
HEN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
HEN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
HEN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
HEN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
HEN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
