HRG_ADJ;Holy Roman;Holy Roman;Holy Roman;;;;;;;;;;;x;
HRG;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_proletarian_dictatorship;Roman Commune;Roman Commune;Roman Commune;;;;;;;;;;;x;
HRG_presidential_dictatorship;Holy Roman Republic;Holy Roman Republic;Holy Roman Republic;;;;;;;;;;;x;
HRG_bourgeois_dictatorship;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_fascist_dictatorship;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_absolute_monarchy;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_prussian_constitutionalism;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_hms_government;Holy Roman Empire;Holy Roman Empire;Holy Roman Empire;;;;;;;;;;;x;
HRG_democracy;Holy Roman Republic;Holy Roman Republic;Holy Roman Republic;;;;;;;;;;;x;
HRG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
HRG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
HRG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
HRG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
HRG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
HRG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
HRG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
HRG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
HRG_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
