HUA_ADJ;Hunanese;Hunanese;Hunanese;;;;;;;;;;;x;
HUA;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_proletarian_dictatorship;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_presidential_dictatorship;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_bourgeois_dictatorship;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_fascist_dictatorship;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_absolute_monarchy;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_prussian_constitutionalism;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_hms_government;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_democracy;Hunan;Hunan;Hunan;;;;;;;;;;;x;
HUA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
HUA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
HUA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
HUA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
HUA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
HUA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
HUA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
HUA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
HUA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
