JGS_ADJ;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_proletarian_dictatorship;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_presidential_dictatorship;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_bourgeois_dictatorship;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_fascist_dictatorship;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_absolute_monarchy;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_prussian_constitutionalism;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_hms_government;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_democracy;Jiangsu;Jiangsu;Jiangsu;;;;;;;;;;;x;
JGS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
JGS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
JGS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
JGS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
JGS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
JGS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
JGS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
JGS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
JGS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
