JIA_ADJ;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_proletarian_dictatorship;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_presidential_dictatorship;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_bourgeois_dictatorship;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_fascist_dictatorship;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_absolute_monarchy;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_prussian_constitutionalism;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_hms_government;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_democracy;Jiangxi;Jiangxi;Jiangxi;;;;;;;;;;;x;
JIA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
JIA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
JIA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
JIA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
JIA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
JIA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
JIA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
JIA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
JIA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
