KZH_ADJ;Kazakh;Kazakh;Kazakh;;;;;;;;;;;x;
KZH;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_proletarian_dictatorship;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_presidential_dictatorship;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_bourgeois_dictatorship;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_fascist_dictatorship;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_absolute_monarchy;Kazakh Khanate;Kazakh Khanate;Kazakh Khanate;;;;;;;;;;;x;
KZH_prussian_constitutionalism;Kazakh Khanate;Kazakh Khanate;Kazakh Khanate;;;;;;;;;;;x;
KZH_hms_government;Kazakh Khanate;Kazakh Khanate;Kazakh Khanate;;;;;;;;;;;x;
KZH_democracy;Kazakhstan;Kazakhstan;Kazakhstan;;;;;;;;;;;x;
KZH_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KZH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
KZH_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KZH_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KZH_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
KZH_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
KZH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KZH_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KZH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
