LAN_ADJ;Lanna;Lanna;Lanna;;;;;;;;;;;x;
LAN;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_proletarian_dictatorship;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_presidential_dictatorship;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_bourgeois_dictatorship;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_fascist_dictatorship;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_absolute_monarchy;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_prussian_constitutionalism;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_hms_government;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_democracy;Lan Na;Lan Na;Lan Na;;;;;;;;;;;x;
LAN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LAN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LAN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LAN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LAN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LAN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LAN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LAN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LAN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
