MAJ_ADJ;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_proletarian_dictatorship;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_presidential_dictatorship;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_bourgeois_dictatorship;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_fascist_dictatorship;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_absolute_monarchy;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_prussian_constitutionalism;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_hms_government;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_democracy;Majapahit;Majapahit;Majapahit;;;;;;;;;;;x;
MAJ_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MAJ_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MAJ_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MAJ_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MAJ_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MAJ_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MAJ_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MAJ_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MAJ_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
