MAR_ADJ;Maratha;Maratha;Maratha;;;;;;;;;;;x;
MAR;Maratha Empire;Maratha Empire;Maratha Empire;;;;;;;;;;;x;
MAR_proletarian_dictatorship;Maratha Commune;Maratha Commune;Maratha Commune;;;;;;;;;;;x;
MAR_presidential_dictatorship;Maratha Empire;Maratha Empire;Maratha Empire;;;;;;;;;;;x;
MAR_bourgeois_dictatorship;Maratha Corporation;Maratha Corporation;Maratha Corporation;;;;;;;;;;;x;
MAR_fascist_dictatorship;Hindustan;Hindustan;Hindustan;;;;;;;;;;;x;
MAR_absolute_monarchy;Maratha Empire;Maratha Empire;Maratha Empire;;;;;;;;;;;x;
MAR_prussian_constitutionalism;Maratha Empire;Maratha Empire;Maratha Empire;;;;;;;;;;;x;
MAR_hms_government;Maratha Empire;Maratha Empire;Maratha Empire;;;;;;;;;;;x;
MAR_democracy;Maratha Confederacy;Maratha Confederacy;Maratha Confederacy;;;;;;;;;;;x;
MAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
