MED_ADJ;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_proletarian_dictatorship;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_presidential_dictatorship;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_bourgeois_dictatorship;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_fascist_dictatorship;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_absolute_monarchy;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_prussian_constitutionalism;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_hms_government;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_democracy;Medri Bahri;Medri Bahri;Medri Bahri;;;;;;;;;;;x;
MED_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MED_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MED_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MED_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MED_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MED_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MED_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MED_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MED_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
