NOV;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_ADJ;Novgorodian;Novgorodian;Novgorodian;;;;;;;;;;;x;
NOV_absolute_monarchy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NOV_bourgeois_dictatorship;Novgorodian Republic;Novgorodian Republic;Novgorodian Republic;;;;;;;;;;;x;
NOV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NOV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NOV_democracy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
NOV_fascist_dictatorship;Novgorodian State;Novgorodian State;Novgorodian State;;;;;;;;;;;x;
NOV_hms_government;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NOV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NOV_presidential_dictatorship;Novgorodian Republic;Novgorodian Republic;Novgorodian Republic;;;;;;;;;;;x;
NOV_proletarian_dictatorship;Soviet Republic of Novgorod;Soviet Republic of Novgorod;Soviet Republic of Novgorod;;;;;;;;;;;x;
NOV_prussian_constitutionalism;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NOV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NOV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ENL;England;England;England;;;;;;;;;;;x;
ENL_ADJ;English;English;English;;;;;;;;;;;x;
ENL_absolute_monarchy;England;England;England;;;;;;;;;;;x;
ENL_anarcho_liberal_90;Radical Party;Radical Party;Radical Party;;;;;;;;;;;x;
ENL_bourgeois_dictatorship;English Republic;English Republic;English Republic;;;;;;;;;;;x;
ENL_communist_91;Communist Party;Communist Party;Communist Party;;;;;;;;;;;x;
ENL_conservative_97;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;x;
ENL_democracy;England;England;England;;;;;;;;;;;x;
ENL_fascist_89;British Union of Fascists;British Union of Fascists;British Union of Fascists;;;;;;;;;;;x;
ENL_fascist_dictatorship;English State;English State;English State;;;;;;;;;;;x;
ENL_hms_government;England;England;England;;;;;;;;;;;x;
ENL_liberal_81;Whig Party;Whig Party;Whig Party;;;;;;;;;;;x;
ENL_liberal_83;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x;
ENL_presidential_dictatorship;English Republic;English Republic;English Republic;;;;;;;;;;;x;
ENL_proletarian_dictatorship;England;England;England;;;;;;;;;;;x;
ENL_prussian_constitutionalism;England;England;England;;;;;;;;;;;x;
ENL_reactionary_75;Tory Party;Tory Party;Tory Party;;;;;;;;;;;x;
ENL_socialist_87;Labour Party;Labour Party;Labour Party;;;;;;;;;;;x;
ENL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NOV;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_ADJ;Novgorodian;Novgorodian;Novgorodian;;;;;;;;;;;x;
NOV_absolute_monarchy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NOV_bourgeois_dictatorship;Novgorodian Republic;Novgorodian Republic;Novgorodian Republic;;;;;;;;;;;x;
NOV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NOV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NOV_democracy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
NOV_fascist_dictatorship;Novgorodian State;Novgorodian State;Novgorodian State;;;;;;;;;;;x;
NOV_hms_government;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NOV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NOV_presidential_dictatorship;Novgorodian Republic;Novgorodian Republic;Novgorodian Republic;;;;;;;;;;;x;
NOV_proletarian_dictatorship;Soviet Republic of Novgorod;Soviet Republic of Novgorod;Soviet Republic of Novgorod;;;;;;;;;;;x;
NOV_prussian_constitutionalism;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NOV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NOV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MUS;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_ADJ;Muscovite ;Muscovite ;Muscovite ;;;;;;;;;;;x;
MUS_absolute_monarchy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_anarcho_liberal_101;Russian Republican Party;Russian Republican Party;Russian Republican Party;;;;;;;;;;;x;
MUS_bourgeois_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_communist_92;Popular Labour Union;Popular Labour Union;Popular Labour Union;;;;;;;;;;;x;
MUS_conservative_80;Slavophile;Slavophile;Slavophile;;;;;;;;;;;x;
MUS_conservative_85;Russian Nation Union;Russian Nation Union;Russian Nation Union;;;;;;;;;;;x;
MUS_conservative_87;Tsarists;Tsarists;Tsarists;;;;;;;;;;;x;
MUS_democracy;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_fascist_86;Panslavic Party;Panslavic Party;Panslavic Party;;;;;;;;;;;x;
MUS_fascist_dictatorship;Greater Muscovy;Greater Muscovy;Greater Muscovy;;;;;;;;;;;x;
MUS_hms_government;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_liberal_83;Westernizers;Westernizers;Westernizers;;;;;;;;;;;x;
MUS_liberal_92;Constitutional Party;Constitutional Party;Constitutional Party;;;;;;;;;;;x;
MUS_presidential_dictatorship;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
MUS_proletarian_dictatorship;Soviet State of Muscovy;Soviet State of Muscovy;Soviet State of Muscovy;;;;;;;;;;;x;
MUS_prussian_constitutionalism;Muscovy;Muscovy;Muscovy;;;;;;;;;;;x;
