ONE_ADJ;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_proletarian_dictatorship;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_presidential_dictatorship;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_bourgeois_dictatorship;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_fascist_dictatorship;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_absolute_monarchy;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_prussian_constitutionalism;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_hms_government;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_democracy;Oneida;Oneida;Oneida;;;;;;;;;;;x;
ONE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ONE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ONE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ONE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ONE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ONE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ONE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ONE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ONE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
