PUE_ADJ;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_proletarian_dictatorship;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_presidential_dictatorship;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_bourgeois_dictatorship;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_fascist_dictatorship;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_absolute_monarchy;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_prussian_constitutionalism;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_hms_government;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_democracy;Puerto Barrios;Puerto Barrios;Puerto Barrios;;;;;;;;;;;x;
PUE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
PUE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
PUE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
PUE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
PUE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
PUE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
PUE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
PUE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
PUE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
