SHA_ADJ;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_proletarian_dictatorship;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_presidential_dictatorship;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_bourgeois_dictatorship;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_fascist_dictatorship;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_absolute_monarchy;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_prussian_constitutionalism;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_hms_government;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_democracy;Shaanxi;Shaanxi;Shaanxi;;;;;;;;;;;x;
SHA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SHA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SHA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SHA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SHA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SHA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SHA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SHA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SHA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
