SHG_ADJ;Qiese;Qiese;Qiese;;;;;;;;;;;x;
SHG;Qi;Qi;Qi;;;;;;;;;;;x;
SHG_proletarian_dictatorship;Peoples Republic of Qi;Qi;Qi;;;;;;;;;;;x;
SHG_presidential_dictatorship;Military State of Shangdong;Shangdong;Shangdong;;;;;;;;;;;x;
SHG_bourgeois_dictatorship;Shangdong;Qi;Qi;;;;;;;;;;;x;
SHG_fascist_dictatorship;National Union of Qi;Qi;Qi;;;;;;;;;;;x;
SHG_absolute_monarchy;Qi Dinasty;Qi;Qi;;;;;;;;;;;x;
SHG_prussian_constitutionalism;Qi;Qi;Qi;;;;;;;;;;;x;
SHG_hms_government;Qi;Qi;Qi;;;;;;;;;;;x;
SHG_democracy;Shangdong;Qi;Qi;;;;;;;;;;;x;
SHG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SHG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SHG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SHG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SHG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SHG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SHG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SHG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SHG_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
