SUO_ADJ;Selk'nam;Selk'nam;Selk'nam;;;;;;;;;;;x;
SUO;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_proletarian_dictatorship;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_presidential_dictatorship;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_bourgeois_dictatorship;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_fascist_dictatorship;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_absolute_monarchy;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_prussian_constitutionalism;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_hms_government;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_democracy;Selknam u Onas;Selknam u Onas;Selknam u Onas;;;;;;;;;;;x;
SUO_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SUO_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SUO_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SUO_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SUO_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SUO_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SUO_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SUO_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SUO_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
