TEU_ADJ;Teuton;Teuton;Teuton;;;;;;;;;;;x;
TEU;Teutonic Order;Teutonic Order;Teutonic Order;;;;;;;;;;;x;
TEU_proletarian_dictatorship;Prussian Commune;Prussian Commune;Prussian Commune;;;;;;;;;;;x;
TEU_presidential_dictatorship;Prussia;Prussia;Prussia;;;;;;;;;;;x;
TEU_bourgeois_dictatorship;Prussian Order;Prussian Order;Prussian Order;;;;;;;;;;;x;
TEU_fascist_dictatorship;Teutonic Order;Teutonic Order;Teutonic Order;;;;;;;;;;;x;
TEU_absolute_monarchy;Teutonic Order;Teutonic Order;Teutonic Order;;;;;;;;;;;x;
TEU_prussian_constitutionalism;Teutonic Order;Teutonic Order;Teutonic Order;;;;;;;;;;;x;
TEU_hms_government;Teutonic Order;Teutonic Order;Teutonic Order;;;;;;;;;;;x;
TEU_democracy;Prussia;Prussia;Prussia;;;;;;;;;;;x;
TEU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
TEU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
TEU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TEU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TEU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TEU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
TEU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TEU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TEU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
