UMA_ADJ;Andalus;Andalus;Andalus;;;;;;;;;;;x;
UMA;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_proletarian_dictatorship;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_presidential_dictatorship;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_bourgeois_dictatorship;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_fascist_dictatorship;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_absolute_monarchy;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_prussian_constitutionalism;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_hms_government;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_democracy;Al-Andalus;Al-Andalus;Al-Andalus;;;;;;;;;;;x;
UMA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
UMA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
UMA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
UMA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
UMA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
UMA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
UMA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
UMA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
UMA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
