ZHE_ADJ;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_proletarian_dictatorship;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_presidential_dictatorship;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_bourgeois_dictatorship;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_fascist_dictatorship;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_absolute_monarchy;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_prussian_constitutionalism;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_hms_government;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_democracy;Zhejiang;Zhejiang;Zhejiang;;;;;;;;;;;x;
ZHE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ZHE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ZHE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ZHE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ZHE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ZHE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ZHE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ZHE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ZHE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
