ZHI_ADJ;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_proletarian_dictatorship;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_presidential_dictatorship;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_bourgeois_dictatorship;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_fascist_dictatorship;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_absolute_monarchy;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_prussian_constitutionalism;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_hms_government;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_democracy;Zhili;Zhili;Zhili;;;;;;;;;;;x;
ZHI_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ZHI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ZHI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ZHI_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ZHI_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ZHI_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ZHI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ZHI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ZHI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
