astrakhani;Astrakhani;Astrakhani;Astrakhani;;;;;;;;;;;x;
bashkir;Bashkir;Bashkir;Bashkir;;;;;;;;;;;x;
breton;Breton;Breton;Breton;;;;;;;;;;;x;
cornish;Cornish;Cornish;Cornish;;;;;;;;;;;x;
crimean;Crimean;Crimean;Crimean;;;;;;;;;;;x;
dhofari;Dhofari;Dhofari;Dhofari;;;;;;;;;;;x;
kazani;Kazani;Kazani;Kazani;;;;;;;;;;;x;
manx;Manx;Manx;Manx;;;;;;;;;;;x;
mehri;Mehri;Mehri;Mehri;;;;;;;;;;;x;
nogai;Nogai;Nogai;Nogai;;;;;;;;;;;x;
omani;Omani;Omani;Omani;;;;;;;;;;;x;
scottish;Scottish;Scottish;Scottish;;;;;;;;;;;x;
shehri;Shehri;Shehri;Shehri;;;;;;;;;;;x;
sibir;Sibir;Sibir;Sibir;;;;;;;;;;;x;
tatar;Mishar;Mishar;Mishar;;;;;;;;;;;x;
welsh;Welsh;Welsh;Welsh;;;;;;;;;;;x;
yemeni;Yemeni;Yemeni;Yemeni;;;;;;;;;;;x;


